Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
29,The Application of Performance Improvement Principles to the Patient Throughput Process in an Adult Outpatient Pain Treatment Clinic,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Other: Performance Improvement Measures,Other,Observational,2008-02-01,"UAB Highlands Pain Treatment Clinic, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT00888420
30,Access to a Sit-stand Computer Workstation and Back Pain,Completed,Has Results,Low Back Pain|Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: Sit-stand computer workstation,Other,Interventional,2013-04-01,"Stanford University, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT02146482
31,Meditation-CBT for Opioid-treated Chronic Low Back Pain,Completed,Has Results,Chronic Pain|Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: Meditation-CBT Intervention + Usual Care|Other: Usual Care Alone,Other,Interventional,2013-01-01,"University of Wisconsin-Madison, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT01775995
2829,Effect of Ulipristal Acetate on Bleeding Patterns and Dysmenorrhea in Women With Adenomyosis,Withdrawn,No Results Available,Adenomyosis|Heavy Uterine Bleeding|Dysmenorrhea,labor,Drug: Ulipristal Acetate,Other,Interventional,2018-02-01,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT03325868
33,Telehealth Therapy for Chronic Pain: Comparison of In-person vs. Video-administered ACT for Pain,Completed,Has Results,Chronic Pain,Nervous System Diseases,Behavioral: In-Person ACT|Behavioral: Telehealth ACT,U.S. Fed,Interventional,2010-02-01,"VA San Diego Healthcare System, San Diego, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT01055639
34,Adaptation of Mindfulness Training to Treat Chronic Pain in the Military,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Mindfulness Training,Other,Interventional,2017-04-30,"Womack Army Medical Center at Ft. Bragg, Fort Bragg, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03104465
35,Mind Body Syndrome (MBS) Therapy for the Treatment of Chronic Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: One-on-one interview and educational sessions. Reading material for educational series as below,Other,Interventional,2014-02-01,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02117921
36,Telehealth Outreach for Chronic Back Pain,Completed,Has Results,Pain|Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: Cognitive Behavioral Therapy-Psychologist-Delivered|Behavioral: Supportive Psychotherapy-Psychologist-Delivered|Behavioral: Cognitive Behavioral Therapy Nurse-Delivered|Behavioral: Supportive Psychotherapy-Nurse-Delivered,U.S. Fed|Other,Interventional,2008-03-01,"VA San Diego Healthcare System, San Diego, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT00608530
37,Efficacy of Antidepressants in Chronic Back Pain,Completed,Has Results,Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: cognitive behavioral therapy|Drug: desipramine hydrochloride|Drug: benztropine mesylate 0.125 mg daily,U.S. Fed|Other,Interventional,2010-01-01,"VA San Diego Healthcare System, San Diego, CA, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT00964886
38,Meditation for Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Headspace app,Other,Interventional,2018-06-05,"Emory University Hospital, Atlanta, Georgia, United States",https://ClinicalTrials.gov/show/NCT03495726
39,Mindfulness Based Chronic Pain Management: A Pilot Study,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Mindfulness Based Chronic Pain Management Intervention,Other,Observational,2013-01-01,"University of Utah, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT01886885
40,Effect of Wearable Health Technology on Patients Treated for Chronic Pain at Geisinger Health System,Enrolling by invitation,No Results Available,Chronic Pain,Nervous System Diseases,Other: WHT,Industry|Other,Observational,2017-10-05,"Geisinger Health System, Danville, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT03299556
41,The Efficacy of the Kyrobak for Chronic Low Back Pain (LBP-2),Completed,Has Results,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Device: Continuous Passive Motion,Industry,Interventional,2013-10-01,"New Heights Chiropractic, New York, New York, United States",https://ClinicalTrials.gov/show/NCT02155283
42,Study to Understand Pain Experiences in Relationships,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Emotional Validation Training for Romantic Partners|Behavioral: Chronic Pain Education Training for Romantic Partners,Other,Interventional,2016-07-01,"Wayne State University's Relationships and Health Lab, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT02859545
43,4-week Mindfulness Program for Adults With Chronic Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Mindfulness Training For Chronic Pain,Other,Interventional,2018-04-23,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03495856
44,Impact of Lifestyle Changes on Telomeric Activity in Patients With Chronic Pain,Enrolling by invitation,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: The Complete Health Improvement Program,Other,Interventional,2017-01-10,"Ohio University, Athens, Ohio, United States",https://ClinicalTrials.gov/show/NCT03056417
45,Augmenting Back Pain Exercise Therapy Using an Interactive Gaming-based Intervention in the Home Setting,Terminated,No Results Available,Non-specific Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: Home-based exercises|Behavioral: Interactive gaming home-based exercises|Device: Valedo® System (Hocoma AG),Other,Interventional,2015-08-01,"Spaulding Rehabilitation Hospital Boston, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02503410
46,Does Prescriptive Treatment of the Hips Improve Outcomes in Patients With Low Back Pain? A Randomized Controlled Trial,Completed,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Prescriptive Hip Exercises and Manual Therapy techniques|Procedure: Pragmatic low back pain treatment,Other,Interventional,2013-09-01,"Regis University, Denver, Colorado, United States",https://ClinicalTrials.gov/show/NCT01900925
47,Effectiveness of Mechanical Decompression for Low Back Pain Relief,Withdrawn,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases","Device: SpineMed Table, Cert HealthSciences LLC",Other,Interventional,2006-08-01,"SUNY Upstate Medical University, Syracuse, New York, United States",https://ClinicalTrials.gov/show/NCT00704210
48,True Functional Restoration and Analgesia in Non-Radicular Low Back Pain,Completed,Has Results,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Hydromorphone ER|Drug: Sugar pill,Other|Industry,Interventional,2011-10-01,"Rehabilitation Institute of Chicago, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT01455519
49,Use of PET/MR Imaging in Chronic Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Drug: [18F]FDG|Device: PET/MRI,Other|Industry,Interventional,2014-11-24,"Stanford University, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT03195270
50,Investigation of Efficacy of Botulinum Toxin A (Dysport) in Chronic Low Back Pain,Terminated,Has Results,Lower Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Placebo|Drug: AbobotulinumtoxinA Treatment,Other|Industry,Interventional,2012-12-01,"Yale Medical Group, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT02221648
51,Effect of Hamstring Stretching and Neural Mobilization on Range of Motion and Low Back Pain,Terminated,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: neural mobilization|Other: straight leg raise,Other,Interventional,2010-05-01,"New York University Langone Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT01483573
52,Effect of Combined Morphine and Duloxetine on Chronic Pain,Recruiting,No Results Available,Chronic Low Back Pain|Chronic Neck Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Morphine|Drug: Duloxetine|Drug: Placebo,Other,Interventional,2018-02-01,"Center for Translational Pain Research, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03249558
53,The Pain App Study: A Novel Shared Decision Making Tool for People With Chronic Pain,Enrolling by invitation,No Results Available,Chronic Pain,Nervous System Diseases,Other: Interactive decision support tool,Other|Industry,Interventional,2018-01-11,"Shared Decision Making Resources, Georgetown, Maine, United States",https://ClinicalTrials.gov/show/NCT03425266
54,"Web-based Cognitive-behavior Therapy (CBT) for Opioid-treated, Chronic Pain Patients With Aberrant Behavior",Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Web-based CBT for chronic pain,Other|NIH,Interventional,2012-02-01,"Mount Sinai Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT01498510
55,Brief Cognitive Behavioral Therapy for Chronic Pain,Not yet recruiting,No Results Available,Chronic Pain|Musculoskeletal Pain,"Muscle, Bone, and Cartilage Diseases",Other: TAU|Behavioral: Brief CBT-CP,U.S. Fed,Interventional,2018-10-01,"VA Western New York Healthcare System, Buffalo, NY, Buffalo, New York, United States",https://ClinicalTrials.gov/show/NCT03490981
56,Veterans' Pain Care Organizational Improvement Comparative Effectiveness Study,Enrolling by invitation,No Results Available,Chronic Pain,Nervous System Diseases,Other: Medication management|Other: Non-pharmacological pain management|Drug: Buprenorphine-Naloxone,Other,Interventional,2017-10-19,"Minneapolis VA Health Care System, Minneapolis, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03026790
57,Compounded Pain Creams and Patient Perception,Withdrawn,No Results Available,Neurologic Pain|Nociceptive Pain,Nervous System Diseases,,Other,Observational,2014-01-01,"Marwood Low Cost Pharmacy, Indianapolis, Indiana, United States",https://ClinicalTrials.gov/show/NCT02024802
58,Acupuncture and Chiropractic Care for Chronic Pain in an Integrated Health Plan,Completed,No Results Available,Chronic Pain,Nervous System Diseases,,Other,Observational,2010-12-01,"Kaiser Permanente Center for Health Research, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT01345409
59,D-cycloserine in the Management of Chronic Low Back Pain,Completed,Has Results,Low Back Pain|Pain,"Muscle, Bone, and Cartilage Diseases",Drug: D-cycloserine|Drug: placebo,Other,Interventional,2012-07-01,"Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT00125528
60,Efficacy of Osteopathic Manipulative Medicine (OMM) and Phototherapy for Patients With Chronic Lower Back Pain,Recruiting,No Results Available,Chronic Lower Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Osteopathic Manipulative Medicine|Procedure: Phototherapy,Other,Interventional,2011-06-01,"New York Institute of Technology, Old Westbury, New York, United States",https://ClinicalTrials.gov/show/NCT01765777
61,Cervical Mobilization vs. Standard Physical Therapy for Chronic Neck Pain,Completed,No Results Available,Neck Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Spinal mobilization|Procedure: Massage|Procedure: Neck exercises,Other,Interventional,2003-06-01,"Mayo Clinic Dept of Physical Medicine & Rehabilitation, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT01092715
62,"A One-year, Open-label Study to Assess the Safety and Effectiveness of Extended Release Tramadol HCl in the Treatment of Chronic, Non-malignant Pain.",Completed,No Results Available,Chronic Pain,Nervous System Diseases,Drug: tramadol ER,Industry,Interventional,2000-10-01,"Gainesville Clinical Research Center, Gainesville, Florida, United States",https://ClinicalTrials.gov/show/NCT00347685
63,Acupuncture for Chronic Pain,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Procedure: Acupuncture,Other|NIH,Interventional,2008-05-01,"Albert Einstein College of Medicine, Bronx, New York, United States",https://ClinicalTrials.gov/show/NCT01149317
64,NEPAL (Neuromodulatory Examination of Pain and Mobility Across the Lifespan),Recruiting,No Results Available,"Musculoskeletal Pain|Pain, Chronic","Muscle, Bone, and Cartilage Diseases",Other: MRI Neuroimaging|Other: Quantitative Sensory Testing|Other: Questionnaires|Other: Physical and Cognitive Function Testing,Other|NIH,Observational,2015-07-01,"Clinical Translational Research Building, Gainesville, Florida, United States",https://ClinicalTrials.gov/show/NCT02488863
65,Chronic Pain Skills Study - Vanderbilt University Medical Center,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Clinical Hypnosis - Group Treatment|Behavioral: Clinical Hypnosis - Individual Treatment,Other,Interventional,2017-06-22,"Osher Center for Integrative Medicine at Vanderbilt, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT03384953
66,Our Whole Lives: Online Chronic Pain Management,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Our Whole Lives Website,Other|Industry,Interventional,2016-06-01,"Boston Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02788539
67,The Effect of AposTherapy on Pain and Function in a Non Specific Low Back Pain,Recruiting,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Device: AposTherapy|Other: Traditional Physical Therapy,Other|Industry,Interventional,2017-08-15,"Montefiore Medical Center, Bronx, New York, United States",https://ClinicalTrials.gov/show/NCT03167671
68,Orthotic Use for Chronic Low Back Pain,Completed,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: Orthotics|Other: Orthotics Plus Chiropractic Care|Other: Wait List,Other|Industry,Interventional,2014-03-01,"National University of Health Sciences, Lombard, Illinois, United States",https://ClinicalTrials.gov/show/NCT02089750
69,Optimizing Patient Engagement in a Novel Pain Management Initiative (OPEN),Completed,No Results Available,Chronic Pain,Nervous System Diseases,Other: OPENtext|Other: OPENnav,Industry|Other,Interventional,2015-09-01,"Rhode Island Hospital, Providence, Rhode Island, United States",https://ClinicalTrials.gov/show/NCT02136108
70,Cognitive Flexibility Training in Persistent Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Training,Other|Industry,Interventional,2017-12-29,"Washington University in St. Louis, Saint Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT03398408
71,Digital Signals in Chronic Pain (DiSCover Project),Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Other: No intervention,Industry,Observational,2018-02-15,"Evidation Health, San Mateo, California, United States",https://ClinicalTrials.gov/show/NCT03421223
72,Study Evaluating the Benefit of Dry Needling for Patients With Neck Pain,Unknown status,No Results Available,Neck Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: dry needling,Other,Interventional,2011-02-01,"Integrated Therapy Practice PC, Hobart, Indiana, United States",https://ClinicalTrials.gov/show/NCT01301170
73,Longterm Safety Study of BEMA Buprenorphine in Subjects With Chronic Low Back Pain,Withdrawn,No Results Available,Pain|Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: BEMA Buprenorphine,Industry,Interventional,2012-07-01,"Marietta, Georgia, United States",https://ClinicalTrials.gov/show/NCT01431742
74,Pain Assessment and Quality of Life in Back Pain Patients: Role of Milnacipran,Withdrawn,No Results Available,Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Savella,Other|Industry,Interventional,2010-08-01,"Brigham and Women's Hospital Pain Trials Center, Chestnut Hill, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01221740
75,Onabotulinumtoxin A Versus Kenalog for Chronic Pelvic Pain,"Active, not recruiting",No Results Available,Pelvic Pain,pelvic,Drug: Onabotulinumtoxin A|Drug: Kenalog,Other,Interventional,2015-08-01,"Beaumont Hospitals, Royal Oak, Michigan, United States",https://ClinicalTrials.gov/show/NCT02369068
76,Clinical Outcomes in Chronic Low Pain Back Utilizing Activity Trackers,Terminated,No Results Available,Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: Step count monitoring with consulting|Behavioral: Step count monitoring without consultation|Device: Fitbit tracker,Other,Interventional,2017-05-12,"NYIT, Old Westbury, New York, United States",https://ClinicalTrials.gov/show/NCT03385083
77,Smartphone-based Mindfulness Training for Chronic Pain,Withdrawn,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Body scan exercise,Other,Interventional,2014-01-01,"University of California, San Francisco, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT02037152
78,Mindfulness and Chronic Low Back Pain,Not yet recruiting,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: Mindfulness training|Behavioral: Meditation training|Behavioral: Book Listening Control,Other,Interventional,2018-12-01,"Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03354585
79,Piloting IVR (Interactive Voice Response) for Chronic Pain Treatment,Completed,Has Results,Chronic Pain,Nervous System Diseases,Behavioral: IVR-based Cognitive-behavior therapy,U.S. Fed,Interventional,2008-12-01,"VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT00651924
80,Ultrasound Guided Transversus Abdominis Plane (TAP) vs. Trigger Point Injection (TPI) for Abdominal Wall Pain,Recruiting,No Results Available,Abdominal Pain,Nervous System Diseases,Drug: Bupivacaine 0.25%|Drug: Triamcinolone,Other,Interventional,2012-01-01,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT01906944
81,"""MILNACIPRAN"" in Subjects With Chronic Shoulder Pain",Completed,No Results Available,Chronic Shoulder Pain,"Muscle, Bone, and Cartilage Diseases",Drug: milnacipran|Drug: Milnacipran|Drug: Placebo,Industry,Interventional,2009-10-01,"Delray Research Associates, Delray Beach, Florida, United States",https://ClinicalTrials.gov/show/NCT01289236
82,Observational Study Linking Genetic Variants With Clinical Outcomes in Pain Management,Enrolling by invitation,No Results Available,Pain|Chronic Pain,Nervous System Diseases,Other: Observational,Industry|Other,Observational,2015-11-01,"Pain Clinic at University of Southern California Keck Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT02480075
83,Social & Behavioral Rhythms in Chronic Pain,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Interpersonal Social Rhythms Psychotherapy|Device: Bright Light Device,Other,Interventional,2016-11-01,"University of Utah, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT03022643
84,Mind Body Intervention for Chronic Lower Back Pain,Unknown status,No Results Available,Chronic Lower Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Manual Therapy|Procedure: Mind Body Intervention,U.S. Fed,Interventional,2013-07-01,"Rochester Outpatient Clinic, Rochester, New York, United States",https://ClinicalTrials.gov/show/NCT01894282
85,Behavioral Interventions for Chronic Pain and Opioid-Related Problems,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Mindfulness-Oriented Recovery Enhancement|Behavioral: Supportive Counseling,Other,Interventional,2017-09-26,"College of Social Work, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT03298269
86,Chiropractic Manipulation and Medical Care for Low Back Pain,Completed,Has Results,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Manual Manipulation|Device: Mechanically-assisted manipulation|Other: Standard Medical Care,Other|NIH,Interventional,2010-11-01,"University of Pittsburgh Medical Center: Center for Integrative Medicine, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT01211613
