Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
11,NCT01024335,Dronabinol Naltrexone Treatment for Opioid Dependence,Domino,Completed,Has Results,Opioid Dependence,Drug: injectable naltrexone and dronabinol|Drug: Naltrexone and placebo,Opiate Withdrawal Measured by the Subjective Opiate Withdrawal Scale (SOWS) .|Retention,New York State Psychiatric Institute|National Institute on Drug Abuse (NIDA),All,18 Years to 60 Years   (Adult),Phase 2|Phase 3,60,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",#5962 DA027124|R01DA027124|DPMC,2010-01-01,2012-12-01,2012-12-01,2009-12-02,2014-09-05,2018-06-18,"New York State Psychiatric Institute, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT01024335
12,NCT02548728,Oxytocin Treatment of Opioid Dependence,,Enrolling by invitation,No Results Available,Opioid Dependence|Opioid Withdrawal,Drug: Intranasal Oxytocin Spray|Drug: Placebo,Area Under the Curve (AUC) in Clinical Opiate Withdrawal Scale (COWS) Total Score on Days 1 to 5 Inclusive|AUC in Subjective Opiate Withdrawal Scale (SOWS) Total Score on Days 1 to 5 Inclusive|AUC in Visual Analog Scale (VAS) Score for Craving on Days 1 to 5 Inclusive,"University of North Carolina, Chapel Hill|National Institute on Alcohol Abuse and Alcoholism (NIAAA)",All,21 Years to 45 Years   (Adult),Phase 1|Phase 2,25,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",14-3041|5R21AA021927-02,2016-02-01,2018-12-01,2018-12-01,2015-09-14,null,2018-06-25,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT02548728
13,NCT01556425,The Separate and Combined Effects of Vivitrol and Opiate Abstinence Reinforcement in the Treatment of Opioid Dependence,,Completed,Has Results,Opioid Dependence,Drug: Vivitrol|Behavioral: Employment-based opiate abstinence reinforcement|Other: Usual Care Control,Percent of Weekly Urine Samples Negative for Opiates|Percent of Weekly Urine Samples Negative for Cocaine,Johns Hopkins University|National Institute on Drug Abuse (NIDA),All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,84,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NA_00052254|2R01DA019497-06,2012-05-01,2016-12-12,2017-08-06,2012-03-16,2018-02-13,2018-03-12,"Johns Hopkins Bayview Center for Learning and Health, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01556425
14,NCT00000195,Neurobiology of Opioid Dependence: 4 - 4,,Withdrawn,No Results Available,Opioid-Related Disorders,Drug: Naltrexone,"Behavioral, physiological, neuroendocrine response to yohimine",Yale University|National Institute on Drug Abuse (NIDA),All,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment,NIDA-00191-4|K20DA000191|K20-00191-4,1993-01-01,1998-01-01,1998-01-01,1999-09-21,null,2016-05-06,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000195
15,NCT00000194,Neurobiology of Opioid Dependence: 3 - 3,,Withdrawn,No Results Available,Opioid-Related Disorders,Drug: Cycloserine,"Behavioral, subjective, measures of naloxone-preci|Phsyiological, neuroendocrine measures of naloxone",Yale University|National Institute on Drug Abuse (NIDA),Male,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Masking: Double|Primary Purpose: Treatment,NIDA-00191-3|K20DA000191|K20-00191-3,1993-01-01,1998-01-01,1998-01-01,1999-09-21,null,2016-05-06,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000194
16,NCT00000193,Neurobiology of Opioid Dependence: 2 - 2,,Withdrawn,No Results Available,Opioid-Related Disorders,Drug: Gamma hydroxybutyric,"Behavioral, subjective, measures of naloxone-preci|Phsyiological, neuroendocrine measures of naloxone",Yale University|National Institute on Drug Abuse (NIDA),Male,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Masking: Double|Primary Purpose: Treatment,NIDA-00191-2|K20DA000191|K20-00191-2,1993-01-01,1998-01-01,1998-01-01,1999-09-21,null,2015-08-07,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000193
17,NCT00000192,Neurobiology of Opioid Dependence: 1 - 1,,Withdrawn,No Results Available,Opioid-Related Disorders,Drug: Lamotrigine,"Behavioral, subjective, measures of naloxone-precipitated opiate withdrawal|Phsyiological, neuroendocrine measures of naloxone-precipitated opiate withdrawal",Yale University|National Institute on Drug Abuse (NIDA),All,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Masking: Double|Primary Purpose: Treatment,NIDA-00191-1|K20DA000191|K20-00191-1,1993-01-01,1998-01-01,1998-01-01,1999-09-21,null,2015-08-07,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000192
18,NCT00772785,Study of Probuphine in Patients With Opioid Dependence,PRO-809,Terminated,No Results Available,Opioid Dependency,Drug: Probuphine (buprenorphine implant),Number of adverse events|Plasma buprenorphine concentration,Braeburn Pharmaceuticals,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 3,16,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PRO-809,2008-09-01,2009-02-01,2009-02-01,2008-10-15,null,2017-06-14,"Scientific Clinical Research, Inc., North Miami, Florida, United States",,https://ClinicalTrials.gov/show/NCT00772785
19,NCT00768482,A Bioavailability and Safety Study of Probuphine Versus Sublingual Buprenorphine in Patients With Opioid Dependence,PRO-810,Terminated,No Results Available,Opioid Dependence,Drug: Probuphine (buprenorphine implant)|Drug: Sublingual Buprenorphine,Plasma BPN AUC(0-24)during 24 hours at steady state.|Plasma BPN and NorBPN Cmax|Time to maximum plasma BPN and NorBPN concentration (tmax)|Plasma BPN and NorBPN AUC(0-24) during 24 hours at steady state|Change in plasma BPN concentration|Number of subjects with adverse events as a measure of safety and tolerability,Braeburn Pharmaceuticals,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,9,Industry,Interventional,Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PRO-810,2008-09-01,2008-12-01,2008-12-01,2008-10-08,null,2017-06-14,"Segal Institute For Clinical Research, Fort Lauderdale, Florida, United States",,https://ClinicalTrials.gov/show/NCT00768482
20,NCT00000243,Effects of Buprenorphine/Naloxone in Treating Opioid Dependent Individuals Who Are Maintained on Methadone,,Terminated,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,Physiological effects|Analog rating scale for drug effects,National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),Not Applicable,16,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,NIDA-08045-1|R01-08045-1|DPMC,2002-09-01,null,2004-01-01,1999-09-21,null,2017-01-12,"Johns Hopkins University (BPRU) Bayview Campus, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00000243
21,NCT01759446,Abuse Potential of Intranasal VYCAVERT Tablets (Hydrocodone Bitartrate/Acetaminophen) in Recreational Opioid Users,,Completed,No Results Available,Opioid-Related Disorders,Drug: Hydrocodone/Acetaminophen,The primary endpoint analysis will evaluate pharmacodynamics parameters,Acura Pharmaceuticals Inc.,All,18 Years to 55 Years   (Adult),Phase 2,40,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",AP-ADF-301,2013-02-01,2013-04-01,2013-04-01,2013-01-03,null,2013-04-09,"Lifetree Clinical Research, Salt Lake City, Utah, United States",,https://ClinicalTrials.gov/show/NCT01759446
22,NCT03034278,Self-reported Usage Patterns of Opioid Analgesic Medications After Surgery,,Recruiting,No Results Available,Opioid Use,Other: Not applicable - no intervention,Ratio of patient-reported intake of oral opioids to prescribed amount of oral opioid medications|Storage of opioid medication in surgical patients after hospital discharge,"University of Colorado, Denver|National Institute on Drug Abuse (NIDA)",All,"18 Years to 89 Years   (Adult, Older Adult)",,853,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,14-1938|1K23DA040923-01A1,2017-02-03,2021-07-31,2021-07-31,2017-01-27,null,2018-07-16,"University of Colorado Hospital, Aurora, Colorado, United States",,https://ClinicalTrials.gov/show/NCT03034278
23,NCT00158236,Abuse Potential of Buprenorphine and Naloxone in Non-Dependent Opioid Users,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine|Drug: Buprenorphine and Naloxone|Drug: Hydromorphone,"Opioid agonist effects (measured by Visual Analog Scale and Adjective Rating Scale during the medication challenge sessions)|Physiological effects (measured by pulse oximeter, blood pressure, heart rate, and pupillary camera during the medication challenge sessions)",National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),Not Applicable,7,NIH,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment,NIDA-08045-5|R01-08045-5|DPMC,1997-01-01,null,1998-03-01,2005-09-12,null,2017-01-12,"Johns Hopkins University (BPRU) Bayview Campus, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00158236
24,NCT00134914,Effects of Buprenorphine/Naloxone Administered in Different Ways For Treating Opioid Dependence,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,Opioid agonist rating|opiate withdrawal|physiologic measures,National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),Not Applicable,10,NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",NIDA-08045-4|R01-08045-4|DPMC,1996-08-01,1998-04-01,1998-05-01,2005-08-25,null,2017-01-12,"Johns Hopkins University (BPRU) Bayview Campus, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00134914
25,NCT02017041,Using mHealth to Aid Opioid Medication Adherence Pilot Study,,Completed,No Results Available,Opioid Dependence,Device: Medsignals|Device: smartphone app,questionnaire assessing usability of the system.,Care Team Solutions,All,"21 Years and older   (Adult, Older Adult)",,9,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,HHSN271201300015C-1|HHSN271201300015C,2014-01-01,2014-06-01,2014-06-01,2013-12-20,null,2015-02-03,"Care Team Solutions, Lexington, Kentucky, United States",,https://ClinicalTrials.gov/show/NCT02017041
26,NCT00000196,Neurobiology of Opioid Dependence: 5 - 5,,Withdrawn,No Results Available,Opioid-Related Disorders,Drug: Naltrexone,"Behavioral, physiological, neuroendocrine response to yohimbine",Yale University|National Institute on Drug Abuse (NIDA),All,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Masking: Double|Primary Purpose: Treatment,NIDA-00191-5|K20DA000191|K20-00191-5,1993-01-01,1998-01-01,1998-01-01,1999-09-21,null,2015-06-03,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000196
27,NCT00000204,Buprenorphine Maintenance for Opioid Addicts - 3,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,Drug use|Retention|Withdrawal symptoms,Yale University|National Institute on Drug Abuse (NIDA),All,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Primary Purpose: Treatment,NIDA-05626-3|R01DA005626|R01-05626-3,1988-08-01,2006-05-01,2006-05-01,1999-09-21,null,2013-07-25,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000204
28,NCT00000203,Buprenorphine Maintenance for Opioid Addicts - 2,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,Drug use|Withdrawal symptoms|Psychological symptoms,Yale University|National Institute on Drug Abuse (NIDA),All,"Child, Adult, Older Adult",Phase 2,0,Other|NIH,Interventional,Primary Purpose: Treatment,NIDA-05626-2|R01DA005626|R01-05626-2,1988-08-01,2006-05-01,2006-05-01,1999-09-21,null,2013-07-25,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000203
29,NCT00000202,Buprenorphine Maintenance for Opioid Addicts - 1,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,,Yale University|National Institute on Drug Abuse (NIDA),All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,0,Other|NIH,Interventional,Primary Purpose: Treatment,NIDA-05626-1|R01DA005626|R01-05626-1,1988-08-01,2006-05-01,2006-05-01,1999-09-21,null,2013-07-25,"VA Connecticut Healthcare System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00000202
30,NCT03098407,Opioid Dependence Treatment Therapies in Pregnancy,,Recruiting,No Results Available,Opioid-Related Disorders|Pregnancy,Drug: Buprenorphine|Drug: Methadone,"Number of participants who are recruited, enrolled, retained, and who complete the study.",University of Pittsburgh|National Institute on Drug Abuse (NIDA),Female,"18 Years and older   (Adult, Older Adult)",Not Applicable,50,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,PRO16020403|1K23DA038789-01A1,2017-04-20,2019-06-01,2019-06-01,2017-03-31,null,2018-08-03,"Magee-Womens Hospital of UPMC, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03098407
31,NCT02431793,EHR‐Based Medication Complete Communication Strategy to Promote Safe Opioid Use,EMC2,"Active, not recruiting",No Results Available,"Opioid Use, Unspecified",Behavioral: EMC2 Strategy|Behavioral: SMS Texting Reminders,Safe medication dosing (prescription understanding)|Medication Knowledge|Medication Use,Northwestern University|Agency for Healthcare Research and Quality (AHRQ),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,652,Other|U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,1R18HS023459-01,2015-07-01,2017-08-01,2018-09-01,2015-05-01,null,2018-04-02,"Northwestern University, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT02431793
32,NCT00000238,Temporal Discounting Delayed Outcomes on Opioid-Dependent Outpatients - 20,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,Drug use|Money choice|Heroin craving,National Institute on Drug Abuse (NIDA)|University of Vermont,All,18 Years to 47 Years   (Adult),Phase 2,0,NIH|Other,Interventional,Primary Purpose: Treatment,NIDA-06969-20|R01-06969-20,1997-08-01,null,null,1999-09-21,null,2008-11-20,"Treatment Research Center, Burlington, Vermont, United States",,https://ClinicalTrials.gov/show/NCT00000238
33,NCT02854800,Smoking Cessation & Opioid Dependence Treatment Integration,,Unknown status,No Results Available,Smoking Cessation|Opioid Related Disorders,Drug: varenicline,"Cigarette smoking quit rates|Relapse rates for all drugs (cigarettes, opioid, other illicit substances)|Days until successful cigarette quit day|Drug withdrawal ratings|Genetic markers in nicotinic and opiate-receptor regions|Medication side effect ratings",West Virginia University|Pfizer|National Institute on Drug Abuse (NIDA),All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,80,Other|Industry|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,WestVirginiaU|NOT-DA-16-013,2016-07-01,2017-04-01,2017-04-01,2016-08-03,null,2016-08-03,"West Virginia University Chestnut Ridge Center, Morgantown, West Virginia, United States",,https://ClinicalTrials.gov/show/NCT02854800
