Conditions,start_year,Conditions_total,start_year_total
Acute Cardiac Ischemia,2012,1,300
Acute Chest Pain,2008,1,226
Acute Coronary Disease|Angina Unstable,2006,1,194
Acute Coronary Syndrome,2005,1,136
Acute Coronary Syndrome,2006,1,194
Acute Coronary Syndrome,2008,1,226
Acute Coronary Syndrome,2010,2,234
Acute Coronary Syndrome,2014,1,328
Acute Coronary Syndrome|Chest Pain,2008,2,226
Acute Coronary Syndrome|Chest Pain,2009,1,251
Acute Coronary Syndrome|Chest Pain,2010,1,234
Acute Coronary Syndrome|Chest Pain,2012,1,300
Acute Coronary Syndrome|Chest Pain,2013,2,284
Acute Coronary Syndrome|Chest Pain,2016,1,316
Acute Coronary Syndrome|Chest Pain,2017,1,332
Acute Coronary Syndrome|Chest Pain|Risk Reduction,2018,1,279
Acute Coronary Syndrome|Myocardial Infarction,2017,1,332
Acute Coronary Syndrome|Myocardial Infarction|Myocardial Ischemia|Unstable Angina,2008,1,226
Acute Coronary Syndrome|Myocardial Infarction|Unstable Angina Pectoris,2005,1,136
Acute Coronary Syndrome|Myocardial Infarction|Unstable Angina Pectoris,2010,1,234
Acute Coronary Syndrome|Pulmonary Embolism,2018,1,279
Acute Coronary Syndromes|Coronary Artery Disease,2006,1,194
Acute Delayed Onset Muscle Soreness (DOMS),2016,1,316
Acute Leukemia|Anorexia|Anxiety|Depression|Dyspnea|Insomnia|Nausea|Pain,2014,1,328
Acute Low Back Pain,2008,1,226
Acute Low Back Pain,2012,1,300
Acute Low Back Pain|Chronic Low Back Pain,2014,1,328
Acute Lymphoblastic Leukemia|Neuropathy|Neuropathic Pain,2012,1,300
Acute Migraine,2010,1,234
Acute Migraine Headache,2007,1,200
Acute Migraine|Migraine Headache|Headache Disorders,2008,1,226
Acute Moderate to Severe Pain,2007,1,200
Acute Moderate-to-severe Pain,2016,1,316
Acute Musculoskeletal Disease|Sprains|Sprains and Strains|Injuries|Emergencies|Trauma|Acute Pain,2018,1,279
Acute Myocardial Infarction|Chest Pain|Acute Coronary Syndrome,2010,1,234
Acute Myocardial Infarction|Heart Attack|Acute Coronary Syndrome|Unstable Angina,2011,1,283
Acute Non-complicated Postural Neck Pain,2016,1,316
Acute Oral Mucositis Pain,2014,1,328
Acute Otitis Media,2013,3,284
Acute Pain,2005,2,136
Acute Pain,2006,1,194
Acute Pain,2007,2,200
Acute Pain,2008,1,226
Acute Pain,2009,2,251
Acute Pain,2010,1,234
Acute Pain,2011,3,283
Acute Pain,2012,3,300
Acute Pain,2013,3,284
Acute Pain,2014,1,328
Acute Pain,2015,6,318
Acute Pain,2016,6,316
Acute Pain,2017,3,332
Acute Pain,2018,4,279
Acute Pain From Ankle Sprain or Strain,2014,1,328
"Acute Pain Management|Analgesic, Nonopioid|Amputation of Lower Extremity, All Causes",2015,1,318
"Acute Pain, Postoperative",2016,1,316
Acute Pain|Ankle Sprain,2009,1,251
Acute Pain|Atrophic|Goals|Impairment|Infiltration|Injury|Muscle Weakness|Pain|Pathology|Shoulder Pain|Syndrome|Tendinopathy,2014,1,328
Acute Pain|Breast Carcinoma|Peripheral Neuropathy,2014,1,328
Acute Pain|Bunion|Abdominoplasty,2017,1,332
Acute Pain|Chronic Pain,2014,1,328
Acute Pain|Fever,2008,1,226
Acute Pain|Fractures,2015,1,318
Acute Pain|Hyperalgesia,2012,1,300
"Acute Pain|Low Back Pain, Mechanical",2018,1,279
Acute Pain|Multiple Trauma|Fractures,2014,1,328
Acute Pain|Neck Pain,2017,1,332
"Acute Pain|Pain, Postoperative",2009,1,251
"Acute Pain|Pain, Postoperative|Colorectal Surgery",2016,1,316
Acute Pain|Regional Anesthesia Morbidity,2015,1,318
Acute Pain|Soft Tissue Injury,2009,1,251
Acute Pain|Surgery,2015,2,318
Acute Pain|Surgery|Abdominal Cancer,2018,1,279
Acute Pain|Surgery|Regional Anesthesia,2014,1,328
Acute Pain|Wound Care|Posttraumatic Stress Disorder,2017,1,332
Acute Post-surgical Pain,2017,1,332
Acute Severe Pain,2013,1,284
Acute Traumatic Pain,2017,1,332
Adenomyosis|Heavy Uterine Bleeding|Dysmenorrhea,2018,1,279
Adenovirus|Anesthesia|Anxiety|Anxiolysis|Autism|Autistic Disorder|Bacterial Meningitis|Bacterial Septicemia|Benzodiazepine|Bipolar Disorder|Bone and Joint Infections|Central Nervous System Infections|Convulsions|Cytomegalovirus Retinitis|Early-onset Schizophrenia Spectrum Disorders|Epilepsy|General Anesthesia|Gynecologic Infections|Herpes Simplex Virus|Infantile Hemangioma|Infection|Inflammation|Inflammatory Conditions|Intra-abdominal Infections|Lower Respiratory Tract Infections|Migraines|Pain|Pneumonia|Schizophrenia|Sedation|Seizures|Skeletal Muscle Spasms|Skin and Skin-structure Infections|Thromboprophylaxis|Thrombosis|Treatment-resistant Schizophrenia|Urinary Tract Infections|Withdrawal|Sepsis|Gram-negative Infection|Bradycardia|Cardiac Arrest|Cardiac Arrhythmia|Staphylococcal Infections|Nosocomial Pneumonia|Neuromuscular Blockade|Methicillin Resistant Staphylococcus Aureus|Endocarditis|Neutropenia|Headache,2011,1,283
Adhesive Capsulitis|Frozen Shoulder,2013,1,284
Adhesive Capsulitis|Post-operative Pain,2008,1,226
Adiposity,2017,1,332
Adjunctive Music Therapy in Total Knee Replacement,2014,1,328
Adolescent Idiopathic Scoliosis|Low Back Pain,2012,1,300
Adolescent Idiopathic Scoliosis|Respiratory Depression|Postoperative Pain,2015,1,318
Adolescent Juvenile Idiopathic Arthritis|Yoga Therapy,2017,1,332
Adult Intracranial Tumor|Adult Solid Tumor,2011,1,283
Advanced Breast Cancer Stage IV,2014,1,328
Advanced Cancer,2015,1,318
Advanced Cancer,2018,1,279
Advanced Cancer|Pain,2008,1,226
Advanced Cancer|Pain,2017,1,332
Advanced Cancer|Solid Tumors,2008,1,226
Advanced Cancers,2009,1,251
Advanced Cancers,2016,1,316
Advanced Cancers|Pain,2015,2,318
Advanced Idiopathic Parkinson's Disease,2012,1,300
Advanced Malignant Neoplasm|Pain,2018,1,279
Adverse Effects,2010,1,234
Affective Neuroscience|Pain|Visual Analogue Pain Scale|Placebo|Functional Magnetic Resonance Imaging (fMRI),2015,1,318
Age-related Macular Degeneration|Central Retinal Vein Occlusion|Diabetic Macular Edema,2012,1,300
"Age-related Macular Degeneration|Diabetic Macular Edema|Injection Site|Injection Site Infection|Pain, Postoperative",2016,1,316
Aging|Pain,2009,1,251
Agitation|Excited Delirium|Pain,2012,1,300
Allergic Rhinitis|Asthma|Back Pain|Benign Prostatic Hypertrophy|Bursitis|Depression|Anxiety|Diabetes Mellitus|Esophageal Reflux|HIV Infections|Hyperlipidemia|Hypertension|Insomnia|Irritable Bowel Syndrome|Obesity|Osteoporosis (Senile)|Shoulder Pain|Sinusitis|Symptomatic Menopause|Urinary Incontinence|Urinary Tract Infection|Vaginitis,2008,1,226
Alteration of Cognitive Function|Ageing,2015,1,318
Altitude Sickness,2010,1,234
"Alzheimer Disease|Dementia|Dementia, Vascular|Pain",2007,1,200
Alzheimer's Disease,2016,1,316
Alzheimer's Disease|Sleep Disorder,2009,1,251
Ambulatory Hand Surgery,2017,1,332
Ambulatory Surgery|Coughing,2011,1,283
Amnesia|Pain|Anesthesia,2015,1,318
Amputation,2008,1,226
Amputation,2018,1,279
Amputation Stumps|Neuroma,2012,1,300
Amputation Stumps|Pain,2012,1,300
Amputation|Phantom Limb Pain|Stump Pain,2008,1,226
Amputation|Phantom Limb|Pain,2006,1,194
Amputation|Phantom Limb|Stump Pain,2008,2,226
Anal Fissure,2013,1,284
Anal Neoplasm,2018,1,279
Analgesia,2017,3,332
Analgesia After ED Discharge for Extremity Injuries,2012,1,300
"Analgesia, Obstetrical",2016,1,316
"Analgesia, Obstetrical|Cesarean Section",2014,1,328
"Analgesia, Obstetrical|Obstetric Surgical Procedures",2016,1,316
Analgesia|Acute Pain|Chronic Pain|Narcotic Abuse|Opioid-related Disorders,2010,1,234
Analgesia|Pain,2009,1,251
Analgesic Drug Dependence|Sensory Deficit,2017,1,332
Analgesic Drug Dependence|Sensory Disorders|Chronic Pain,2018,1,279
Analgesic Rebound Headache,2007,1,200
Analgesic Response,2014,1,328
"Analgesics, Antipyretics and Anti-Inflammatory Drugs Causing Adverse Effects in Therapeutic Use",2018,1,279
"Anemia, Sickle Cell",2015,2,318
"Anemia, Sickle Cell|Hemoglobin SC Disease",2007,1,200
"Anemia, Sickle Cell|Pain",2011,1,283
Anesthesia,2016,1,316
Anesthesia of Mucous Membrane,2013,1,284
"Anesthesia, Conduction|Osteoarthritis, Hip",2018,1,279
"Anesthesia, Dental|Pain, Postoperative",2018,1,279
"Anesthesia, Intravenous|Pain, Postoperative|Delayed Recovery From Anesthesia|Satisfaction|Relaxation Therapy",2018,1,279
"Anesthesia, Local|Pain, Postoperative",2017,1,332
"Anesthesia, Recovery Period",2011,1,283
"Anesthesia, Spinal|Arthroplasty, Replacement, Knee|Pain Management|Early Ambulation|Ambulatory Surgical Procedures",2016,1,316
Anesthesia|Pain,2016,1,316
Anesthesia|Pain|Surgery,2015,1,318
Anesthesia|Pain|Urinary Retention,2012,1,300
Anesthesia|Urethral Obstruction,2018,1,279
Aneurysmal Subarachnoid Hemorrhage,2014,1,328
Angina,2007,1,200
Angina,2012,1,300
Angina,2015,1,318
Angina,2017,1,332
Angina Pectoris,2007,3,200
Angina Pectoris,2012,1,300
"Angina Pectoris|Angina, Unstable|Atherosclerosis|Coronary Artery Disease",2009,1,251
"Angina Pectoris|Angina, Unstable|Myocardial Infarction",2006,1,194
Angina Pectoris|Coronary Artery Disease|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|CAD|CVD|CHD,2010,1,234
Angina Pectoris|Coronary Artery Disease|Type 2 Diabetes Mellitus,2011,1,283
"Angina, Stable|Angina, Unstable",2016,1,316
"Angina, Stable|Angina, Unstable|Anticoagulants",2016,1,316
"Angina, Unstable|Cardiovascular Diseases|Heart Diseases|Coronary Disease|Myocardial Infarction|Heart Failure, Congestive",2006,1,194
"Angina, Unstable|Myocardial Infarction|Ischemic Heart Disease",2005,1,136
Angina|Chest Pain,2011,1,283
Angina|Pulmonary Arterial Hypertension,2010,1,234
Ankle and Hindfoot Arthrodesis,2016,1,316
Ankle Fracture,2011,1,283
Ankle Fracture,2014,2,328
Ankle Fracture,2015,1,318
Ankle Osteoarthritis,2018,1,279
Ankle Osteoarthritis|Flat Foot or Pes Planus,2016,1,316
Ankle Osteoarthritis|Healthy Ankles,2019,1,8
Ankle Sprain,2008,2,226
Ankle Sprain,2009,1,251
Ankle Sprain,2014,1,328
Ankle Sprain,2016,1,316
Anklyosing Spondylitis,2012,1,300
Ankyloglossia|Breast Feeding|Enlarged Labial Frenum,2015,1,318
Ankylosing Spondylitis,2011,1,283
Ankylosing Spondylitis|Spondylarthritis,2011,1,283
Anterior Cruciate Ligament,2006,1,194
Anterior Cruciate Ligament,2013,1,284
Anterior Cruciate Ligament,2017,1,332
Anterior Cruciate Ligament (ACL) Tear,2015,1,318
"Anterior Cruciate Ligament Injury|Pain; Catheter (Other)|Satisfaction, Personal",2017,1,332
Anterior Cruciate Ligament Reconstruction,2015,1,318
"Anterior Cruciate Ligament Reconstruction|Regional Anesthesia, Saphenous Nerve Block",2012,1,300
Anterior Cruciate Ligament Rupture,2014,1,328
Anterior Cruciate Ligament Rupture,2017,1,332
Anterior Cruciate Ligament Tear,2018,1,279
Anterior Knee Pain Syndrome,2006,1,194
Anterior Knee Pain Syndrome|Patellofemoral Pain Syndrome,2015,1,318
Anxiety,2016,1,316
Anxiety,2017,1,332
Anxiety Disorder|Breast Cancer|Cognitive/Functional Effects|Colorectal Cancer|Depression|Fatigue|Pain|Psychosocial Effects of Cancer and Its Treatment|Weight Changes,2012,1,300
Anxiety Disorder|Breast Cancer|Depression|Fatigue|Hot Flashes|Pain|Sleep Disorders,2008,1,226
Anxiety Disorder|Breast Cancer|Nausea and Vomiting|Pain,2008,1,226
Anxiety Disorder|Cancer Survivor|Fatigue|Leukemia|Long-term Effects Secondary to Cancer Therapy in Adults|Lymphoma|Lymphoproliferative Disorder|Pain|Psychosocial Effects of Cancer and Its Treatment|Small Intestine Cancer,2008,1,226
Anxiety Disorder|Depression|Fatigue|Leydig Cell Tumor|Ovarian Sarcoma|Ovarian Stromal Cancer|Pain|Peritoneal Carcinomatosis|Pseudomyxoma Peritonei|Recurrent Breast Cancer|Recurrent Cervical Cancer|Recurrent Endometrial Carcinoma|Recurrent Fallopian Tube Cancer|Recurrent Gestational Trophoblastic Tumor|Recurrent Ovarian Epithelial Cancer|Recurrent Ovarian Germ Cell Tumor|Recurrent Primary Peritoneal Cavity Cancer|Recurrent Uterine Sarcoma|Recurrent Vaginal Cancer|Recurrent Vulvar Cancer,2010,1,234
Anxiety Disorder|Fatigue|Hematopoietic/Lymphoid Cancer|Pain,2012,1,300
Anxiety Disorder|Fatigue|Malignant Neoplasm|Nausea and Vomiting|Pain,2012,1,300
"Anxiety Disorder|Worry|Uncertainty|Sleep Disorders|Insomnia|Fatigue|Pain|Depression|Cognitive-behavioral Therapy|Psychological Intervention|Esophageal Cancer|Pancreatic Cancer|Leukemia|Lung Cancer|Multiple Myeloma|Ovarian Neoplasm|Stage III or IV Cervical or Uterine Cancer|Stage IIIB, IIIC, or IV Breast Cancer|Glioblastoma Multiforme|Relapsed Lymphoma|Stage III or IV Colorectal Cancer|Stage IIIC or IV Melanoma",2011,1,283
Anxiety Disorders|Complex Regional Pain Syndrome Type II|Depressive Disorders|Post-Traumatic Stress Disorder|Substance Abuse,2007,1,200
Anxiety|Abdominal Pain,2016,1,316
Anxiety|Cancer Survivor|Chronic Pain|Depression|Sleep Disorder,2016,1,316
Anxiety|Cancer Survivor|Cognitive Impairment|Depression|Distress|Fatigue|Malignant Female Reproductive System Neoplasm|Pain|Sexual Dysfunction,2015,1,318
"Anxiety|Chronic Pain|Opioid Use, Unspecified",2014,1,328
Anxiety|Depression|Digestive System Neoplasm|Lung Neoplasm|Pain|Post-Traumatic Stress Disorder|Psychological Impact of Cancer,2010,1,234
Anxiety|Pain,2014,1,328
Anxiety|Pain|Abortion,2017,1,332
"Anxiety|Pain|Health Knowledge, Attitudes, Practice",2016,1,316
Anxiety|Pain|Nausea|Fatigue|Sleep Disturbance,2014,1,328
Anxiety|Pain|Postoperative Pain,2007,1,200
Anxiety|Pain|Surgery,2017,1,332
Anxiety|Pain|Surgical Site Infection,2012,1,300
Anxiety|Stage IV Melanoma,2012,1,300
Apnea of Prematurity|Retinopathy of Prematurity|Pain,2005,1,136
Appendicitis,2011,1,283
Appendicitis,2017,1,332
"Appendicitis|Pain, Postoperative",2017,1,332
Application Site Discomfort|Medical Device Discomfort,2013,1,284
Arachnoiditis,2005,1,136
Arm Illness,2014,1,328
Arm Injuries|Hand Injuries,2014,1,328
Arterial Occlusion|Angina Pectoris|Cardiovascular Diseases|Atherosclerosis|Hematoma|Anticoagulant-Induced Bleeding|Coronary Artery Disease,2017,1,332
Arthralgia,2009,1,251
Arthralgia Syndrome|Arthritis|Synovitis,2009,1,251
Arthralgia|Breast Cancer,2009,1,251
Arthralgia|Breast Cancer|Hot Flashes|Musculoskeletal Complications|Sexual Dysfunction,2013,1,284
Arthralgia|Breast Cancer|Pain,2012,1,300
Arthralgia|Breast Neoplasms,2016,1,316
Arthralgia|Bunion|Hallux Valgus|Pain,2008,1,226
Arthralgia|Musculoskeletal Complications|Pain|Recurrent Breast Cancer|Stage I Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer,2006,1,194
"Arthralgia|Pain|Unspecified Adult Solid Tumor, Protocol Specific",2009,1,251
Arthritis,2005,1,136
Arthritis,2009,1,251
Arthritis,2011,1,283
Arthritis,2012,1,300
Arthritis,2015,1,318
Arthritis,2016,1,316
Arthritis - Post Surgical|Other Activity-limiting Pain,2012,1,300
Arthritis of Hip,2017,1,332
Arthritis of the Knee,2014,1,328
"Arthritis, Degenerative",2017,1,332
"Arthritis, Gouty",2008,1,226
"Arthritis, Rheumatoid",2011,1,283
"Arthritis, Rheumatoid; Arthritis, Psoriatic",2016,1,316
"Arthritis;Lumbosacral|Osteo Arthritis Knee|Sacroiliitis|Hip Osteoarthritis|Arthritis, Degenerative",2018,1,279
"Arthritis|Arthritis, Degenerative|Rheumatoid Arthritis|Post-traumatic Arthrosis of Other Joints, Shoulder Region|Rotator Cuff Syndrome of Shoulder and Allied Disorders|Fracture|Avascular Necrosis|Joint Instability|Joint Trauma|Dislocation, Shoulder|Pain, Shoulder",2017,1,332
Arthritis|Asthma|Chronic Obstructive Lung Disease|Diabetes|Heart Failure|Hypertension|Anxiety|Chronic Pain|Depression|Fibromyalgia|Insomnia|Irritable Bowel Syndrome|Problem Drinking|Substance Use Disorder,2016,1,316
Arthritis|Osteoarthritis,2008,1,226
Arthritis|Osteoarthritis,2009,1,251
Arthritis|Pain|Cognitive Impairment,2011,1,283
Arthritis|Rheumatoid Arthritis,2016,1,316
Arthropathy Due to Bleeding From Hemophilia,2009,1,251
Arthropathy of Hip,2014,1,328
Arthropathy of Knee Joint,2014,1,328
Arthroplasty,2006,1,194
Arthroplasty Shoulder,2016,1,316
"Arthroplasty, Replacement, Knee",2015,1,318
"Arthroplasty, Replacement, Knee|Knee Injuries",2005,1,136
"Arthroplasty, Replacement, Knee|Pain",2015,1,318
"Arthroplasty, Replacement, Knee|Pain, Postoperative",2015,1,318
"Arthroplasty, Replacement, Knee|Pain, Postoperative",2016,1,316
Arthroscopic Knee Surgery,2012,1,300
Articular Cartilage Disorder|Degeneration; Articular Cartilage|Chronic Cartilage Injury|Acute Cartilage Injury|Defect of Articular Cartilage,2011,1,283
"Assessing Injection Pain of Makena® (Hydroxyprogesterone Caproate Injection, 250 mg/mL) in Healthy Post-menopausal Women",2016,1,316
Asthma|Mental Health|Pain,2007,1,200
Asthma|Wheezing,2013,1,284
Athletic Injuries,2014,1,328
Atrial Fibrillation,2017,1,332
Atrophic Vaginitis,2014,1,328
Attention Concentration Difficulty|Neck Pain|Back Pain|Shoulder Pain|Fatigue,2015,1,318
Atypical Facial Pain|Persistent Idiopathic Facial Pain|Atypical Trigeminal Neuralgia|Neuropathic Orofacial Pain|Neuropathic Facial Pain,2014,1,328
"Autism|Autistic Disorder|Child Development Disorders, Pervasive|Gastrointestinal Diseases|Signs and Symptoms, Digestive",2005,1,136
Autism|Gastrointenstinal Symptoms,2018,1,279
Autism|Gastrointestinal Symptoms,2010,1,234
Autoimmune Diseases|Systemic Inflammatory Process|Knee Pain Chronic|Osteoarthritis|Rheumatoid Arthritis,2011,1,283
Back Pain,2005,1,136
Back Pain,2006,3,194
Back Pain,2008,3,226
Back Pain,2009,3,251
Back Pain,2010,3,234
Back Pain,2011,2,283
Back Pain,2012,2,300
Back Pain,2013,1,284
Back Pain,2014,1,328
Back Pain,2016,2,316
Back Pain,2017,3,332
Back Pain,2018,1,279
Back Pain Lower Back Chronic,2010,2,234
Back Pain Lower Back Chronic,2011,1,283
Back Pain Lower Back Chronic,2012,3,300
Back Pain Lower Back Chronic,2013,1,284
Back Pain Lower Back Chronic,2016,1,316
Back Pain Lower Back Chronic,2017,1,332
Back Pain With Radiation,2016,1,316
Back Pain Without Radiation,2006,1,194
"Back Pain Without Radiation|Back Pain, Low",2018,1,279
Back Pain|Arthritis,2016,1,316
"Back Pain|Back Pain With Radiation|Pain in Leg, Unspecified",2013,1,284
"Back Pain|Back Pain, Low|Sciatica",2017,1,332
Back Pain|Chronic Low Back Pain|Internal Disc Disruption|Degenerative Disc Disease,2010,1,234
"Back Pain|Chronic Pain|Pain in Leg, Unspecified",2006,1,194
"Back Pain|Chronic Pain|Pain, Intractable",2015,1,318
Back Pain|Insomnia,2009,1,251
Back Pain|Leg Pain,2017,1,332
Back Pain|Low Back Pain,2008,1,226
Back Pain|Low Back Pain,2017,1,332
Back Pain|Lower Back Pain|Cervical Pain,2011,1,283
Back Pain|Lower Extremity Pain,2015,1,318
Back Pain|Neck Pain,2008,1,226
Back Pain|Neck Pain,2017,2,332
Back Pain|Neck Pain|Sleep Initiation and Maintenance Disorders,2007,1,200
Back Pain|Osteoarthritis,2013,1,284
Back Strain|Neck Strain,2008,1,226
"Bariatric Surgery Candidate|Pain, Postoperative",2017,1,332
Bariatric Surgical Pain,2013,1,284
Barrett Esophagus,2017,1,332
Basal Cell Carcinoma of the Skin|Pain|Recurrent Skin Cancer,2011,1,283
Benign Headache,2013,1,284
Bilateral Knee Osteoarthritis,2017,1,332
Bilateral Primary Osteoarthritis of Knee,2013,1,284
Biliary Colic,2014,1,328
"Binocular Dysfunction|Vertical Heterophoria|Vision, Binocular|Vision Disparity",2008,1,226
Bladder Carcinoma,2015,1,318
Bladder Carcinoma|Post-operative Pain,2018,1,279
Bladder Diseases|Interstitial Cystitis,2005,1,136
Bladder Pain and Discomfort|Urinary Urgency and Frequency|Bothersome Symptoms,2011,1,283
Bladder Pain Syndrome,2012,1,300
Bladder Spasm|Malignant Neoplasm|Pain|Urinary Urgency,2016,1,316
Blepharitis,2014,1,328
Blepharoptosis,2011,1,283
Bone Diseases|Pain,2018,1,279
Bone Ingrowth|Pain,2008,1,226
"Bone Marrow Edema|Knee Pain Chronic|Knee Osteoarthritis|Osteoarthritis, Knee|Osteoarthritis",2017,1,332
Bone Metastases,2009,1,251
Bone Metastases,2011,1,283
Bone Metastases,2014,1,328
Bone Metastases,2018,1,279
Bone Metastases|Multiple Myeloma,2008,1,226
Bone Metastases|Pain,2014,1,328
Bone Metastasis,2013,1,284
"Bone Neoplasms|Pain, Intractable|Cancer",2006,1,194
Bone Pain in Stage I - III Breast Cancer,2012,1,300
Bone Pain|Breast Carcinoma Metastatic in the Bone,2018,1,279
Borderline Personality Disorder,2013,1,284
Bowel Dysfunction|Constipation,2005,3,136
Bowel Obstruction,2011,2,283
Bowel Obstruction,2012,2,300
"Brain and Central Nervous System Tumors|Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Lymphoproliferative Disorder|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms|Pain|Precancerous Condition|Unspecified Adult Solid Tumor, Protocol Specific",2005,1,136
"Brain and Central Nervous System Tumors|Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Lymphoproliferative Disorder|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms|Pain|Precancerous Condition|Unspecified Adult Solid Tumor, Protocol Specific",2007,1,200
"Brain and Central Nervous System Tumors|Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Lymphoproliferative Disorder|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms|Pain|Precancerous Condition|Unspecified Adult Solid Tumor, Protocol Specific",2009,1,251
Brain Imaging of Placebo Analgesia,2010,1,234
"Brain Injuries, Traumatic|Chronic Pain|Post-Traumatic Headache",2018,1,279
Brain Injuries|Post-Traumatic Headache,2013,1,284
Breakthrough Bleeding|Breakthrough Spotting,2006,1,194
Breakthrough Pain,2006,1,194
Breakthrough Pain,2013,1,284
Breast Adenocarcinoma|DS Stage I Plasma Cell Myeloma|DS Stage II Plasma Cell Myeloma|Metastatic Malignant Neoplasm to the Bone|Pain|Musculoskeletal Complication|Urinary Complications,2009,1,251
Breast Augmentation,2014,1,328
Breast Cancer,2005,1,136
Breast Cancer,2006,1,194
Breast Cancer,2007,1,200
Breast Cancer,2008,2,226
Breast Cancer,2009,2,251
Breast Cancer,2010,1,234
Breast Cancer,2011,1,283
Breast Cancer,2013,3,284
Breast Cancer,2014,2,328
Breast Cancer,2015,4,318
Breast Cancer,2016,1,316
Breast Cancer,2017,2,332
Breast Cancer,2018,1,279
Breast Cancer Female,2017,1,332
Breast Cancer Surgery Pain|Breast Cancer|Stage 0-III Breast Cancer,2016,1,316
Breast Cancer|Arthralgia,2009,2,251
Breast Cancer|Arthralgia,2010,1,234
Breast Cancer|Arthralgia,2011,1,283
Breast Cancer|Arthralgia|Obesity,2009,1,251
